#Wavelength [nm]	ETE D569/3SA	ETE D573KFLSA	Hama R12992-100
200	14.441	13.107	0.855
210	18.075	17.352	0.851
220	20.508	19.860	1.103
230	22.477	21.784	2.255
240	22.944	22.349	4.065
250	23.734	23.207	7.168
270	27.327	26.462	12.532
280	28.835	27.995	17.247
290	30.221	29.309	23.580
300	31.330	30.284	28.929
310	32.019	30.921	32.842
320	32.025	30.892	35.020
350	32.486	30.624	35.822
360	32.247	31.095	36.554
370	33.237	32.187	36.748
380	33.453	32.380	37.776
390	34.091	32.894	37.975
400	33.607	32.339	38.687
420	31.959	30.675	38.011
440	29.640	28.778	36.154
460	25.669	25.911	33.961
480	21.540	22.472	29.618
500	18.758	20.090	25.852
520	15.918	17.318	23.426
540	10.737	10.839	16.282
560	7.618	7.658	11.450
580	5.647	5.767	9.127
600	3.841	3.934	7.240
620	2.249	2.400	5.257
640	1.193	1.333	3.355
660	0.510	0.625	1.922
680	0.192	0.268	0.859
700	0.060	0.099	0.311
720	0.018	0.036	0.084
740	0.003	0.011	0.020
760     0.00	0.001	0.004
780	0.00	0.00	0.000
800	0.00	0.00	0.00
